GIFTs,Extra,Subject,Experience,Elective1,Elective2,Elective3,Elective4,Elective5
Yes,Yes,Strategy & Entrepreneurship,Overall,Advanced Competitive Strategy A,Customer and Marketing Analytics ,Negotiation & Bargaining M,Strategic Innovation B,
Yes,Yes,Strategy & Entrepreneurship,Learning Experience,Advanced Competitive Strategy A,Customer and Marketing Analytics ,Strategic Innovation B,Value Investing B,
Yes,Yes,Strategy & Entrepreneurship,Coursework,Innovation for Impact ,Luxury Strategy ,Measuring Impact in the Digital Economy ,Strategic Innovation B,
Yes,Yes,Strategy & Entrepreneurship,Class Participation,Entrepreneurship in Emerging Markets ,Measuring Impact in the Digital Economy ,Pathways to Start-up Success B,Value Investing B,
Yes,Yes,Strategy & Entrepreneurship,Prior Knowledge,Advanced Competitive Strategy A,Customer Analytics Tools for Marketing Decisions ,Elements of Machine Learning for Business ,Financing the Entrepreneurial Business ,
Yes,Yes,Marketing,Overall,Behavioural Economics and Decision Making ,Customer and Marketing Analytics ,Innovation for Impact ,Negotiation & Bargaining M,
Yes,Yes,Marketing,Learning Experience,Behavioural Economics and Decision Making ,Customer and Marketing Analytics ,Pricing Strategy and Tactics B,Value Investing B,
Yes,Yes,Marketing,Coursework,Behavioural Economics and Decision Making ,Innovation for Impact ,Measuring Impact in the Digital Economy ,Value Investing B,
Yes,Yes,Marketing,Class Participation,Behavioural Economics and Decision Making ,Channel and Sales Force Management B,Measuring Impact in the Digital Economy ,Value Investing B,
Yes,Yes,Marketing,Prior Knowledge,Behavioural Economics and Decision Making ,Customer Analytics Tools for Marketing Decisions ,Elements of Machine Learning for Business ,Pricing Strategy and Tactics B,
Yes,Yes,Finance,Overall,Customer and Marketing Analytics ,Fixed Income Securities B,Negotiation & Bargaining M,Value Investing B,
Yes,Yes,Finance,Learning Experience,Customer and Marketing Analytics ,Fixed Income Securities A,Negotiation & Bargaining M,Value Investing B,
Yes,Yes,Finance,Coursework,Fixed Income Securities A,Innovation for Impact ,Measuring Impact in the Digital Economy ,Value Investing B,
Yes,Yes,Finance,Class Participation,Financial Engineering & Risk Management A,Measuring Impact in the Digital Economy ,Negotiation & Bargaining M,Value Investing B,
Yes,Yes,Finance,Prior Knowledge,Customer and Marketing Analytics ,Elements of Machine Learning for Business ,Financial Engineering & Risk Management A,Weatlh Management ,
Yes,Yes,Management Science & Operations,Overall,Customer and Marketing Analytics ,Financial Analytics ,Negotiation & Bargaining M,Time Series Analysis ,
Yes,Yes,Management Science & Operations,Learning Experience,Customer and Marketing Analytics ,Financial Analytics ,Time Series Analysis ,Value Investing B,
Yes,Yes,Management Science & Operations,Coursework,Customer and Marketing Analytics ,Financial Analytics ,Innovation for Impact ,Time Series Analysis ,
Yes,Yes,Management Science & Operations,Class Participation,Managing Sport and Entertainment ,Measuring Impact in the Digital Economy ,Time Series Analysis ,Value Investing B,
Yes,Yes,Management Science & Operations,Prior Knowledge,Customer and Marketing Analytics ,Elements of Machine Learning for Business ,Project Management B,Supply Chain Management ,
Yes,Yes,Organisational Behaviour,Overall,Crisis Leadership and Human Behaviour B,Customer Analytics Tools for Marketing Decisions ,Negotiation & Bargaining M,Value Investing B,
Yes,Yes,Organisational Behaviour,Learning Experience,Crisis Leadership and Human Behaviour B,Customer Analytics Tools for Marketing Decisions ,Negotiation & Bargaining M,Value Investing B,
Yes,Yes,Organisational Behaviour,Coursework,Crisis Leadership and Human Behaviour B,Innovation for Impact ,Measuring Impact in the Digital Economy ,Negotiation & Bargaining M,
Yes,Yes,Organisational Behaviour,Class Participation,Crisis Leadership and Human Behaviour B,Measuring Impact in the Digital Economy ,Negotiation & Bargaining M,Value Investing B,
